timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199641.3845525,mouse_move,,299,246,
1788199641.3924754,mouse_move,,306,242,
1788199641.400535,mouse_move,,313,239,
1788199641.4085174,mouse_move,,324,237,
1788199641.416483,mouse_move,,330,236,
1788199641.4244964,mouse_move,,341,236,
1788199641.432555,mouse_move,,352,234,
1788199641.4405143,mouse_move,,361,232,
1788199641.4484758,mouse_move,,369,230,
1788199641.4565103,mouse_move,,378,228,
1788199641.4645627,mouse_move,,382,228,
1788199641.4725108,mouse_move,,385,228,
1788199641.4804828,mouse_move,,388,227,
1788199641.4884763,mouse_move,,389,227,
1788199641.5847094,mouse_move,,390,227,
1788199641.5925174,mouse_move,,397,227,
1788199641.600583,mouse_move,,403,227,
1788199641.6085691,mouse_move,,411,228,
1788199641.6165547,mouse_move,,428,236,
1788199641.6244977,mouse_move,,450,243,
1788199641.632552,mouse_move,,477,247,
1788199641.6405163,mouse_move,,505,257,
1788199641.6484826,mouse_move,,544,271,
1788199641.6565995,mouse_move,,590,276,
1788199641.6645584,mouse_move,,674,287,
1788199641.6724806,mouse_move,,744,305,
1788199641.6804926,mouse_move,,829,320,
1788199641.6884613,mouse_move,,918,331,
1788199641.6964982,mouse_move,,1019,346,
1788199641.7045262,mouse_move,,1124,362,
1788199641.712544,mouse_move,,1230,377,
1788199641.7205153,mouse_move,,1345,385,
1788199641.7285628,mouse_move,,1445,397,
1788199641.7365856,mouse_move,,1546,416,
1788199641.7445602,mouse_move,,1640,424,
1788199641.7525182,mouse_move,,1725,439,
1788199641.760485,mouse_move,,1805,457,
1788199641.768579,mouse_move,,1883,464,
1788199641.7765162,mouse_move,,1936,477,
1788199641.7844996,mouse_move,,1984,485,
1788199641.792462,mouse_move,,2019,491,
1788199641.800446,mouse_move,,2038,493,
1788199641.8085642,mouse_move,,2060,497,
1788199641.8164744,mouse_move,,2071,499,
1788199641.8244975,mouse_move,,2077,499,
1788199641.8324997,mouse_move,,2082,500,
1788199641.9206638,mouse_click,down,2082,500,Button.left
1788199642.0166686,mouse_click,up,2082,500,Button.left
1788199642.208632,mouse_move,,2083,503,
1788199642.2165387,mouse_move,,2086,506,
1788199642.2245026,mouse_move,,2088,506,
1788199642.232546,mouse_move,,2093,506,
1788199642.2405636,mouse_move,,2095,506,
1788199642.2485173,mouse_move,,2096,506,
1788199642.25658,mouse_move,,2099,507,
1788199642.3845356,mouse_move,,2101,507,
1788199642.6328793,mouse_move,,2103,507,
1788199642.6405523,mouse_move,,2104,508,
1788199643.1925406,mouse_move,,2104,509,
1788199643.2886121,mouse_move,,2104,511,
1788199643.5765033,mouse_move,,2105,512,
1788199643.648743,mouse_move,,2106,513,
1788199643.6565921,mouse_move,,2108,513,
1788199643.6645207,mouse_move,,2111,513,
1788199643.6725273,mouse_move,,2115,513,
1788199643.6804838,mouse_move,,2123,513,
1788199643.6885564,mouse_move,,2131,513,
1788199643.6965535,mouse_move,,2145,513,
1788199643.704549,mouse_move,,2169,513,
1788199643.712576,mouse_move,,2198,513,
1788199643.7205515,mouse_move,,2234,513,
1788199643.7285383,mouse_move,,2267,513,
1788199643.7365258,mouse_move,,2316,513,
1788199643.744566,mouse_move,,2376,513,
1788199643.7527041,mouse_move,,2429,505,
1788199643.760576,mouse_move,,2491,498,
1788199643.7684765,mouse_move,,2528,490,
1788199643.776553,mouse_move,,2574,484,
1788199643.7845395,mouse_move,,2620,479,
1788199643.79254,mouse_move,,2660,476,
1788199643.8005056,mouse_move,,2696,471,
1788199643.808561,mouse_move,,2735,457,
1788199643.816507,mouse_move,,2754,450,
1788199643.824533,mouse_move,,2777,437,
1788199643.8325093,mouse_move,,2791,431,
1788199643.840591,mouse_move,,2813,424,
1788199643.848479,mouse_move,,2830,413,
1788199643.8564892,mouse_move,,2845,405,
1788199643.8645458,mouse_move,,2854,397,
1788199643.8724823,mouse_move,,2867,387,
